object_name,source_type,m40_stratum,needed_label,current_status,reason_needed,recommended_source_or_observation
F563-1,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
F563-1,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
UGCA442,direct_sparc_m36_m39,clean_juvenile_failed_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
UGCA442,direct_sparc_m36_m39,clean_juvenile_failed_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
UGC06446,direct_sparc_m36_m39,clean_juvenile_failed_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
UGC06446,direct_sparc_m36_m39,clean_juvenile_failed_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
UGC06446,direct_sparc_m36_m39,clean_juvenile_failed_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
UGC06446,direct_sparc_m36_m39,clean_juvenile_failed_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
UGC05721,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
UGC05721,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
UGC05721,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
UGC05721,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
D631-7,direct_sparc_m36_m39,clean_juvenile_failed_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
D631-7,direct_sparc_m36_m39,clean_juvenile_failed_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
DDO064,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
DDO064,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
DDO064,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
DDO064,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
UGC08490,direct_sparc_m36_m39,clean_juvenile_failed_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
UGC08490,direct_sparc_m36_m39,clean_juvenile_failed_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
UGC08490,direct_sparc_m36_m39,clean_juvenile_failed_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
UGC08490,direct_sparc_m36_m39,clean_juvenile_failed_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
NGC5585,direct_sparc_m36_m39,clean_juvenile_failed_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
NGC5585,direct_sparc_m36_m39,clean_juvenile_failed_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
