object_name,acquisition_priority_rank,candidate_tier,taxonomy_stage,quality_quarantined,measurement_limited,missing_label_count,recommended_first_labels,crossmatch_lead_count,next_action
UGC04278,17,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC04278; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC04499,18,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC04499; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC05005,19,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC05005; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC05721,20,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC05721; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC06446,21,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC06446; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC06667,22,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC06667; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC07399,23,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC07399; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC07524,24,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC07524; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC07603,25,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC07603; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC08490,26,preferred_50_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC08490; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC08550,27,preferred_50_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC08550; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC10310,28,preferred_50_pool,disturbed_or_measurement_contaminated,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC10310; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC12632,29,preferred_50_pool,failed_stalled,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC12632; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGCA442,30,preferred_50_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGCA442; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
ESO079-G014,31,preferred_50_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for ESO079-G014; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
ESO116-G012,32,preferred_50_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for ESO116-G012; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
ESO563-G021,33,preferred_50_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for ESO563-G021; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
F571-8,34,preferred_50_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for F571-8; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
F574-1,35,preferred_50_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for F574-1; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
F579-V1,36,preferred_50_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for F579-V1; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
IC4202,37,preferred_50_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for IC4202; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC0024,38,preferred_50_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC0024; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC0801,39,preferred_50_pool,true_falsifier_candidate,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC0801; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC0891,40,preferred_50_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC0891; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC1090,41,preferred_50_pool,true_falsifier_candidate,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC1090; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC2998,42,preferred_50_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC2998; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC3893,43,preferred_50_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC3893; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC3917,44,preferred_50_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC3917; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC3953,45,preferred_50_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC3953; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC3972,46,preferred_50_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC3972; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC3992,47,preferred_50_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC3992; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC4088,48,preferred_50_pool,true_falsifier_candidate,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC4088; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC4100,49,preferred_50_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC4100; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC4157,50,preferred_50_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC4157; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC4183,51,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC4183; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC4217,52,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC4217; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC4559,53,reserve_pool,true_falsifier_candidate,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC4559; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC5005,54,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC5005; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC5033,55,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC5033; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC5371,56,reserve_pool,true_falsifier_candidate,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC5371; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC5985,57,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC5985; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC6195,58,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC6195; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC6503,59,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC6503; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC6674,60,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC6674; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC7814,61,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC7814; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC02487,62,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC02487; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC02885,63,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC02885; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC03205,64,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC03205; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC03546,65,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC03546; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC04325,66,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC04325; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC06399,67,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC06399; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC06614,68,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC06614; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC06786,69,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC06786; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC06917,70,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC06917; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC06930,71,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC06930; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC06983,72,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC06983; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC07151,73,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC07151; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC08286,74,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC08286; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC09133,75,reserve_pool,true_falsifier_candidate,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC09133; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC11455,76,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC11455; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC11914,77,reserve_pool,mature_or_control,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC11914; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
