object_name,label_family,unresolved_reason,next_decisive_source_needed
DDO064,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
DDO161,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
DDO161,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
DDO161,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
DDO161,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
DDO161,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
DDO161,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
DDO161,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
DDO161,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F563-1,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F563-1,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F563-1,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F563-1,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F563-1,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F563-1,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F563-1,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F563-1,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F563-V2,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F563-V2,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F563-V2,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F563-V2,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F563-V2,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F563-V2,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F563-V2,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F563-V2,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F568-V1,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F568-V1,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F568-V1,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F568-V1,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F568-V1,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F568-V1,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F568-V1,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F568-V1,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F583-1,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F583-1,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F583-1,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F583-1,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F583-1,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F583-1,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F583-1,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
F583-1,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC0100,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC0100,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC0100,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC0100,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC0100,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC0100,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC0100,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC0100,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC1003,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC1003,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC1003,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC1003,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC1003,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC1003,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC1003,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC1003,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC3109,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC3109,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC3109,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC3109,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC3109,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC3109,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC3109,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC3109,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC3741,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC3741,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC3741,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC3741,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC3741,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC3741,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC3741,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC3741,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC5585,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC5585,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC5585,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC5585,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC5585,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC5585,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC5585,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
NGC5585,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC00128,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC00128,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC00128,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC00128,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC00128,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC00128,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC00128,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC00128,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC00731,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC00731,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC00731,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC00731,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC00731,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC00731,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC00731,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC00731,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC01230,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC01230,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC01230,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC01230,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC01230,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC01230,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC01230,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC01230,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC01281,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC01281,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC01281,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC01281,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC01281,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC01281,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC01281,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC01281,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC04278,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC04278,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC04278,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC04278,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC04278,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC04278,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC04278,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC04278,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC04499,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC04499,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC04499,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC04499,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC04499,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC04499,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC04499,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC04499,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC05005,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC05005,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC05005,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC05005,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC05005,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC05005,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC05005,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC05005,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC05721,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC05721,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC05721,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC05721,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC05721,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC05721,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC05721,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC05721,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC06446,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC06446,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC06446,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC06446,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC06446,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC06446,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC06446,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC06446,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC06667,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC06667,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC06667,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
