candidate_name,dataset,analog_tier,analog_score,data_completeness,missing_required_fields,followup_priority,predicted_followup_signature,recommended_next_action,galaxy_id,sdss_id,stellar_mass_msun,hi_mass_msun,h2_mass_msun,sfr_msun_yr,f_star,f_gas,molecular_to_atomic_ratio,depletion_time_hi_yr,depletion_time_h2_yr,external_maturity_class,m9_threshold_proxy_activation,btfr_offset_dex,high_atomic_gas_score,low_molecular_fraction_score,long_depletion_time_score,low_stellar_fraction_proxy
GASS109102,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.6700298740615723,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS109102,J092115.45+030903.9,2389238074.238252,5714785965.14453,402858127.8179402,0.3803302049636841,0.2269907942771787,0.7730092057228212,0.0704940010483405,19984385238.001217,1408779273.9180987,gas-rich,0.0,-0.0675475939160765,0.7435676791618334,0.7650199965055317,0.4709489266047034,0.6216820095380354
GASS110036,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.6665722108964707,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS110036,J101508.34+051436.0,1016768647.2164148,2630268453.963273,222702682.6526284,0.1848949193954467,0.2113327996847086,0.7886672003152915,0.0846691836025563,18920244294.486023,1601961637.9750564,gas-rich,0.0,0.5721609267718293,0.7594032678644048,0.7177693879914789,0.458914933538144,0.6477786671921523
GASS113091,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.6603083891135841,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS113091,J135049.15+171655.5,1465322694.574446,3741105488.3931017,383181506.9149687,0.2040048837661743,0.2108188575008646,0.7891811424991354,0.1024246731624653,24389956787.827805,2498133352.439916,gas-rich,0.0,0.0657733215609592,0.7385927447366126,0.6585844227917824,0.5371388762905612,0.648635237498559
GASS107026,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.6512130776794504,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS107026,J075433.01+294238.8,2076078502.999539,4265796312.095559,180323766.82967332,0.3835070729255676,0.2598535273730546,0.7401464726269453,0.0422720058898194,14793753481.016577,625361634.282069,gas-rich,1.0,0.007217374822904,0.7080853821033691,0.859093313700602,0.3761385398790272,0.5669107877115757
GASS114078,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.649562608671987,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS114078,J140542.23+121430.9,2007902657.827904,4570880290.185208,351548853.5221162,0.3278009295463562,0.2347124754791392,0.7652875245208608,0.0769105360901656,18545617897.90966,1426353414.6516025,gas-rich,0.0,0.3795994435554455,0.7190942139805349,0.7436315463661146,0.4510461950682547,0.6088125408681013
GASS122004,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.6428371632014058,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS122004,J225304.48+010839.9,3342074363.0281663,3388439477.987164,27855885.27130457,0.0223367419093847,0.4238120091720397,0.5761879908279602,0.0082208596176112,201758364044.55597,1658627187.4892087,transition,1.0,1.4583106430582635,0.4027387122097955,0.9725971346079626,1.0,0.2936466513799338
GASS124025,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.6232147016833548,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS124025,J002536.49+140655.0,984120556.721632,3019948537.254365,380989679.66212976,0.3450637757778168,0.1786916160107597,0.8213083839892403,0.1261576728749532,11639968714.463127,1468471365.353929,gas-rich,0.0,0.8903897194273256,0.7773810993866438,0.579474423750156,0.3291329148203855,0.7021806399820673
GASS124028,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.6167317028155015,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS124028,J000602.39+142502.8,1519800653.9375868,2570394879.6691976,170667988.9925406,0.1345794796943664,0.2942262855823161,0.7057737144176838,0.0663975758520438,25402276764.06405,1686649598.256553,gas-rich,1.0,0.1909411018860947,0.6065135933296154,0.778674747159854,0.5392934344380566,0.5096228573628064
GASS123001,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.6153924410493008,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS123001,J232710.20+150102.0,2935280538.802913,5623413251.903491,470107401.7579376,0.3565200865268707,0.265884976437228,0.734115023562772,0.0835982313053036,20978171799.214867,1753738058.4331615,gas-rich,1.0,0.1573585252978038,0.645661108718825,0.7213392289823214,0.4885228561560382,0.5568583726046199
GASS114141,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.6095973306956775,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS114141,J140043.65+315339.0,2569169025.281502,5260169244.842155,240994230.32799768,0.9001524448394775,0.2598869833044991,0.7401130166955009,0.0458149194656244,7772044763.915133,356075604.9419997,gas-rich,1.0,-0.2315772589150686,0.7035817903531908,0.8472836017812521,0.1907589903079033,0.5668550278258349
GASS113134,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.6068485478014172,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS113134,J135309.64+045739.4,1326765223.5844774,2137961713.919416,145016739.51569822,0.1077541187405586,0.304085889628959,0.695914110371041,0.0678294370622037,26388681126.511177,1789929385.6252532,gas-rich,1.0,-0.1767073037857027,0.5845504308409165,0.773901876459321,0.550711955509596,0.493190183951735
GASS109082,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.6051512686256653,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS109082,J092932.91+131134.0,5002199541.712728,5888442760.205689,179426852.55224887,0.1548579186201095,0.3826515588748234,0.6173484411251766,0.0304710192251204,50572995820.03144,1541010727.9041142,transition,1.0,-0.2160624475559007,0.4638493180194151,0.8984299359162653,0.7287352148237242,0.36224740187529436
GASS101034,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5925738785712973,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS101034,J012454.60+141306.5,1335314986.7194808,2754226042.1949854,284937383.2065093,0.2379713654518127,0.2483197093446089,0.7516802906553911,0.1034546107840255,15393115172.34238,1592488738.9083588,gas-rich,0.0,0.0890739325593106,0.6592248870464047,0.6551512973865816,0.40415290103306606,0.5861338177589852
GASS124007,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5901932468391032,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS124007,J002314.86+144834.3,1881504271.7211173,3019948537.254365,221985774.5833324,0.1819673031568527,0.3037978601856129,0.696202139814387,0.0735064759696714,22072820143.331604,1622495223.4486835,gas-rich,1.0,0.4488159750982543,0.5788756664110005,0.7549784134344286,0.5005405681592509,0.4936702330239785
GASS111075,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5856904205262328,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS111075,J115238.00+241827.4,3340160078.01636,6025592155.867609,557101539.4529963,0.4420929551124573,0.276157145298227,0.723842854701773,0.0924558989460481,18127494398.243355,1675993790.229042,gas-rich,1.0,0.0529544651082325,0.6144877458657255,0.6918136701798396,0.44859336847172315,0.5397380911696217
GASS108148,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5834372784471319,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS108148,J084252.68+250413.4,3938810449.527826,5011870135.142811,131987266.8812963,0.2847448587417602,0.3653765312267297,0.6346234687732704,0.0263349335322582,23409684407.279327,616492482.8768444,gas-rich,1.0,0.0268903440315781,0.5036118940067692,0.912216888225806,0.5045553528194388,0.39103911462211716
GASS114117,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5785390700443588,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS114117,J142617.37+154109.7,1744041075.7200212,2630268453.963273,157113234.13599136,0.1907026469707489,0.3199336456066474,0.6800663543933525,0.059732775146679,18344040312.70597,1095740435.2804823,gas-rich,1.0,0.0800840813708525,0.5609018143106849,0.80089074951107,0.4432264809670035,0.46677725732225434
GASS108140,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.573534393069592,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS108140,J083941.65+274332.2,867739261.0731374,1244515376.969586,86240314.11588481,0.0690130442380905,0.3289826649985858,0.671017335001414,0.0692963025703075,23983950710.23383,1661999105.2477064,gas-rich,1.0,-0.1447469562066281,0.5321521350300574,0.7690123247656416,0.5234447647526169,0.4516955583356903
GASS109076,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5725010450294078,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS109076,J091647.60+095328.7,5566754787.565577,7762477302.75455,507950850.4348933,0.4167789816856384,0.3360263331326152,0.6639736668673847,0.0654366938058092,24771150337.06438,1620942179.8241496,gas-rich,1.0,-0.2300908900578004,0.5219736468022725,0.7818776873139693,0.5317481226549591,0.4399561114456413
GASS3817,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5658808805668223,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS3817,J014325.96+135116.8,9397618843.611897,13899515079.96998,1058074938.585332,0.88935387134552,0.3208340556358988,0.6791659443641013,0.0761231548365367,20786276028.001904,1582316908.554581,gas-rich,1.0,0.1152990895832921,0.5413997850423816,0.7462561505448777,0.4838580168886774,0.4652765739401687
GASS111044,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5624468765999444,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS111044,J114922.08+245618.4,5582661089.262258,9120109194.638906,842014538.9670938,0.6950818300247192,0.2964409733128932,0.7035590266871067,0.0923250501717739,17450816155.61491,1611147477.1055496,gas-rich,1.0,0.1809277416960544,0.5733979335914797,0.6922498327607537,0.4375439971185126,0.505931711145178
GASS114126,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5560713874846941,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS114126,J140348.60+152408.2,7875680987.31455,9549915794.217651,538501615.8096672,0.4437651336193084,0.3698670385220522,0.630132961477948,0.0563881009438557,28621870093.123592,1613932900.0129788,gas-rich,1.0,0.000346929330723,0.46322238756282286,0.812039663520481,0.5711132439913497,0.3835549357965796
GASS111079,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5541377438513108,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS111079,J113701.89+153414.1,7456670760.807037,10232935315.766705,549083418.1083505,0.8542761206626892,0.3421000295343466,0.6578999704656534,0.0536584470794351,15931387569.878645,854853516.8203039,gas-rich,1.0,-0.3564517988295357,0.5221130025543065,0.8211385097352163,0.40073454350807464,0.42983328410942234
GASS11994,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5540651745748317,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS11994,J002558.97+142052.7,14658171676.472755,18197018176.28807,1091956019.6580856,0.9119031429290771,0.3636134946068532,0.6363865053931467,0.0600074149005894,26540136814.00969,1592605001.3166869,gas-rich,1.0,0.1554970109368696,0.47207941690748323,0.799975283664702,0.5502402797166077,0.393977508988578
GASS113114,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5438693716120758,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS113114,J130638.16+285054.4,2054265701.5760183,4466831997.992275,523314053.4682046,0.8413317799568176,0.2363626619910103,0.7636373380089896,0.1171555262663607,7061288660.265097,827268989.1120428,gas-rich,0.0,0.2505160114411442,0.6681916260976212,0.609481579112131,0.1820973084843954,0.6060622300149828
GASS113137,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5406725222675088,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS113137,J130608.35+301233.3,1386556943.4433086,1862089099.377868,150765221.91573685,0.1162765547633171,0.3412094680212342,0.6587905319787657,0.0809656326145232,21299035796.284832,1724489907.3255763,gas-rich,1.0,-0.1776164354234826,0.4955362292840896,0.7301145579515893,0.4922134593529582,0.43131755329794297
GASS111093,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5365242875919949,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS111093,J112739.14+234528.5,2021634968.2221272,4355118124.793261,636309719.44204,0.5467470288276672,0.2334388387168096,0.7665611612831904,0.1461061907413236,10594126351.989288,1547867445.5214305,gas-rich,0.0,1.5063568816933444,0.6420017448174532,0.512979364195588,0.3069589104796293,0.6109352688053173
GASS109139,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5254716045240384,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS109139,J091639.79+071558.9,5706795400.838297,7585777749.219503,424476247.6912384,0.8793913125991821,0.3488168879906392,0.6511831120093607,0.0559568526424218,11472804270.3106,641982017.9491186,gas-rich,1.0,0.0165304509137147,0.5060363682096715,0.8134771578585941,0.3063094109144231,0.4186385200156013
GASS109122,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5132417407948388,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS109122,J094622.62+090954.8,5135292888.702535,7244353873.869617,745147333.6434029,0.6217054128646851,0.3258159719604261,0.6741840280395739,0.1028590467303301,15497678567.491673,1594076443.9852614,gas-rich,1.0,-0.1161179216472163,0.5039188608617454,0.6571365108988997,0.4059566787765583,0.45697338006595645
GASS111067,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5073106855882963,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS111067,J112938.20+095803.3,1570107348.8831918,2511884225.153631,289413803.84505385,0.3147445619106293,0.2964797291018401,0.7035202708981599,0.115217811771302,10614340718.626747,1222961110.995203,gas-rich,1.0,-0.2147037357115078,0.5492341743747137,0.6159406274289934,0.29960072033589097,0.5058671181635997
GASS101001,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5069011187834569,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS101001,J015032.27+133942.2,1295023956.7973025,1428893079.9465575,106363478.2891824,0.0793363749980926,0.3880901632890907,0.6119098367109094,0.0744376747161239,23954053816.734272,1783084066.1425943,gas-rich,1.0,-0.1137340902087764,0.4097183458367383,0.7518744176129204,0.5244724055019935,0.3531830611848488
GASS35981,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.5053282278676183,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS35981,J135308.35+354250.5,25121008995.09125,24774223622.85142,1308927833.575786,1.2198256254196167,0.4200022874089926,0.5799977125910074,0.0528342624778944,27011825896.884056,1427149899.4431598,gas-rich,1.0,-0.0699562274631269,0.3676644789951534,0.8238857917403519,0.5533748737694543,0.299996187651679
GASS111090,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.4973005892229254,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS111090,J114612.35+103543.9,1641288724.327925,1995263191.254866,113301945.1228153,0.256940484046936,0.3691872993567286,0.6308127006432712,0.0567854635014627,10328072877.31354,586484405.4151355,gas-rich,1.0,0.1457583256291936,0.4641818403447965,0.810715121661791,0.27610298902854186,0.3846878344054523
GASS109127,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.49417444868154325,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS109127,J093200.78+121542.5,1210040912.0206106,1479108648.0080776,144497397.1519436,0.108689472079277,0.35912258612597,0.6408774138740301,0.0976922130409682,18099402492.41322,1768170684.2030635,gas-rich,1.0,-0.3131316226815031,0.4439611358499881,0.6743592898634393,0.44952878688422143,0.4014623564567167
GASS114122,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.48989521022130567,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS114122,J140835.42+115703.7,2430317795.3238406,3162277660.16838,339393507.6037891,0.2758943438529968,0.3429000247683417,0.6570999752316582,0.1073256507101649,15244347634.27014,1636109529.500006,gas-rich,1.0,0.2475999342669705,0.46617786372883996,0.642247830966117,0.40235504215398166,0.4284999587194305
GASS111023,xGASS/xCOLD GASS,weak gas-maturity proxy analog,0.48537901925041166,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS111023,J115535.13+255322.0,6276741622.380493,9772367059.324804,1319108283.328374,1.1714742183685305,0.298488733319369,0.7015112666806309,0.134983497377913,11094779539.410423,1497612144.866531,gas-rich,1.0,0.0229815494341796,0.5253160965226183,0.55005500874029,0.3175043886110617,0.5025187778010517
