galaxy_name,taxonomy_stage,followup_priority_rank,recommended_followup,classification_reason,f_star,f_gas,log10_Sigma_b,RHI_Rd,BTFR_offset_dex,alpha_BTFR,bdvr_overprediction_dex,velocity_fractional_error,Inc,residual_after,claim_boundary
UGC07125,failed_stalled,2,"high: H I surface-density map, depletion time, stellar age/metallicity, environment/tidal history","gas-rich, low-stellar, diffuse/H I-extended, and severely under-rotating; not a juvenile prototype but a failed/stalled boundary-object candidate",0.1804974862131068,0.8195025137868931,8.019775262749231,6.816568047337278,-0.2052260404052944,0.3886403773950502,0.30491843927661133,0.032208588957055216,90.0,0.1710481278972899,boundary-object interpretation; resolved H I and stellar-population follow-up required
NGC1003,failed_stalled,2,"high: H I surface-density map, depletion time, stellar age/metallicity, environment/tidal history",gas-rich low-stellar boundary object with severe under-rotation; candidate stalled or nonparticipating-gas system,0.3036401196751674,0.6963598803248326,8.838563604646323,20.701863354037265,-0.0225229693745119,0.9014757763671736,0.17303796720650255,0.03825136612021858,67.0,0.0233679347075637,boundary-object interpretation; resolved H I and stellar-population follow-up required
NGC0100,failed_stalled,2,"high: H I surface-density map, depletion time, stellar age/metallicity, environment/tidal history",gas-rich low-stellar boundary object with severe under-rotation; candidate stalled or nonparticipating-gas system,0.3791024468060149,0.620897553193985,8.391288724537977,9.855421686746988,-0.0129717870535531,0.9420119798742904,0.15162088639997492,0.07264472190692396,89.0,0.0287565657560033,boundary-object interpretation; resolved H I and stellar-population follow-up required
UGC12632,failed_stalled,2,"high: H I surface-density map, depletion time, stellar age/metallicity, environment/tidal history",gas-rich low-stellar boundary object with severe under-rotation; candidate stalled or nonparticipating-gas system,0.2190220941273122,0.7809779058726878,7.906948773530353,5.206611570247934,-0.0631971910160831,0.7474903975360241,0.15292641975466326,0.03905160390516039,46.0,0.055346425002003,boundary-object interpretation; resolved H I and stellar-population follow-up required
UGC01230,disturbed_or_measurement_contaminated,3,high: geometry/measurement audit before physical classification,"severe mismatch is present, but scalar geometry/velocity-quality flags require quarantine before physical interpretation",0.3082050493856122,0.6917949506143878,8.01892589871753,6.057603686635945,-0.057769053357676,0.7664112892547481,0.1573833034096436,0.0588235294117647,22.0,0.0230441429078536,quarantine class; not a physical explanation
UGC10310,disturbed_or_measurement_contaminated,3,high: geometry/measurement audit before physical classification,"severe mismatch is present, but scalar geometry/velocity-quality flags require quarantine before physical interpretation",0.3536921314166375,0.6463078685833624,8.082418498709004,5.322222222222222,-0.0446141357638089,0.8142761760606692,0.15020420942312207,0.05462184873949579,34.0,0.0622270777021074,quarantine class; not a physical explanation
NGC3741,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.0546746856205576,0.9453253143794424,9.008101881468578,21.0,0.0472257873570314,1.2429440357042696,0.10328921047495924,0.041916167664670656,70.0,0.0048692666140632,juvenile/forming candidate only; not an age determination
F583-1,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.1484680387161279,0.8515319612838721,7.97721007350196,6.63135593220339,0.0026572976770827,1.0123124902547902,0.09317791202147249,0.04195804195804196,63.0,-0.0479465878898608,juvenile/forming candidate only; not an age determination
UGC00731,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.0629676272316467,0.9370323727683532,7.887419657901373,5.030434782608697,-0.037686328154091,0.8406734729760171,0.12577525212960133,0.03137789904502046,57.0,-0.0224491728885345,juvenile/forming candidate only; not an age determination
UGC08550,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.2739128786442734,0.7260871213557266,8.617650499095362,12.42222222222222,0.0240219144224796,1.1169759669107835,0.12649308340951101,0.033391915641476276,90.0,0.0238545267276863,juvenile/forming candidate only; not an age determination
NGC3109,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.1326205548187747,0.8673794451812253,7.679731828746212,3.846153846153846,0.0542912627648367,1.284051745442076,0.017824521392974062,0.03927492447129909,70.0,-0.0620369933235158,juvenile/forming candidate only; not an age determination
F563-1,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.1827172347575612,0.8172827652424388,7.825364083305407,6.667613636363636,0.0613138695469941,1.3262571525907416,0.021723878053804876,0.11373976342129208,25.0,-0.1039969059960537,juvenile/forming candidate only; not an age determination
UGCA442,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.1667500416875104,0.8332499583124896,7.681088205881671,3.703389830508475,0.0449945785487826,1.230238055437714,0.027217083387427846,0.037234042553191495,64.0,-0.0351182930503046,juvenile/forming candidate only; not an age determination
UGC06446,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.2121929323430996,0.7878070676569003,8.222443629281738,6.932885906040268,0.0225963057023995,1.1096668479966292,0.09714970463835816,0.052311435523114354,51.0,-0.0412963931183605,juvenile/forming candidate only; not an age determination
UGC05721,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.2621031432633075,0.7378968567366925,9.04784523458566,17.736842105263158,0.0995337441302128,1.581493780296395,0.050981253701777834,0.08281053952321203,61.0,-0.0726499872646315,juvenile/forming candidate only; not an age determination
D631-7,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.2026049204052098,0.7973950795947902,8.196200139001826,0.0,0.039505288087067,1.1995285143609031,0.07748382287222168,0.04679376083188908,59.0,-0.0110523581256976,juvenile/forming candidate only; not an age determination
DDO064,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.2185837997382563,0.7814162002617436,8.0793736356896,5.057971014492754,-0.0256384992124591,0.8886341551469169,0.13093576109080446,0.08459869848156182,60.0,0.0575300964080354,juvenile/forming candidate only; not an age determination
UGC08490,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.3468385512584407,0.6531614487415592,8.715834119988067,11.641791044776118,0.0533551443808987,1.2785281329642022,0.09715985345109189,0.04834605597964377,50.0,-0.0196097384698683,juvenile/forming candidate only; not an age determination
NGC5585,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.3966424880522063,0.6033575119477936,8.401798302775038,7.137254901960784,0.0128209888998675,1.060820680908219,0.12707198597737646,0.026578073089700997,51.0,0.0112797699924134,juvenile/forming candidate only; not an age determination
UGC07603,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.3539556425801107,0.6460443574198893,8.47847740168307,8.245283018867925,0.057751956632184,1.304679724565629,0.09145664255177434,0.04545454545454545,78.0,0.0016071348301252,juvenile/forming candidate only; not an age determination
UGC06667,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.3936386639390917,0.6063613360609084,7.027274334924381,1.6679611650485435,0.0604503500675063,1.320993559246695,-0.023435902693858857,0.0369928400954654,89.0,-0.0186802576007187,juvenile/forming candidate only; not an age determination
UGC01281,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.3110022554271215,0.6889977445728784,7.531426093961837,3.226993865030675,0.0029172817256814,1.0135252282721912,0.05934665275165258,0.06340579710144927,90.0,0.0567084856008932,juvenile/forming candidate only; not an age determination
UGC05005,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.3325929759608286,0.6674070240391713,7.981360962953233,6.753125,-0.0027904086121612,0.9872319061123233,0.09899647226353457,0.07280080889787664,41.0,-0.0066962069677076,juvenile/forming candidate only; not an age determination
UGC07524,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.3398371125563953,0.6601628874436046,7.678044417277685,3.5,-0.0387534953704185,0.8365521298554857,0.11075015187700117,0.04528301886792453,46.0,0.0540978180818378,juvenile/forming candidate only; not an age determination
UGC04278,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.3056909504252074,0.6943090495747926,7.842998593983464,4.027149321266968,0.0779289400843308,1.4317193024782704,0.006519506918201166,0.0525164113785558,90.0,-0.0728022303709097,juvenile/forming candidate only; not an age determination
UGC04499,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.3465832961143367,0.6534167038856633,8.075782018963324,5.011560693641618,-0.0259086473032709,0.8875293124011877,0.13086132993480562,0.03296703296703297,50.0,0.0520371998807362,juvenile/forming candidate only; not an age determination
UGC00128,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.378148431753646,0.621851568246354,7.85399836854531,5.25546218487395,0.0107689795687125,1.050843298910714,0.0745693010216971,0.021655065738592418,57.0,-0.0342151636696006,juvenile/forming candidate only; not an age determination
F563-V2,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.341041215047844,0.658958784952156,8.071860525241643,4.679012345679012,0.105858812002349,1.6282370172214895,-0.001281354774938345,0.08061749571183534,29.0,-0.1068959702708007,juvenile/forming candidate only; not an age determination
F568-V1,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.3659915836288376,0.6340084163711625,8.010260757011247,5.045614035087719,0.0703206666933114,1.3824242179900077,0.028499072564900998,0.1406945681211042,40.0,-0.0692472073634542,juvenile/forming candidate only; not an age determination
UGC07399,juvenile_forming,4,medium: check whether gas converts and disk settles in matched analogs,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,0.3684227300251776,0.6315772699748223,7.967713857599678,4.786585365853659,0.1634153659703244,2.122417079992476,-0.06842430131932012,0.03203883495145631,55.0,-0.1349609036630292,juvenile/forming candidate only; not an age determination
