topic,source,rank,title,year,authors,venue,citationCount,influentialCitationCount,doi,arxiv,url,abstract,query,error
lambda_R,semantic_scholar,3,Hα imaging observations of early-type galaxies from the ATLAS3D survey,2017,G. Gavazzi; G. Consolandi; S. Pedraglio; M. Fossati; M. Fumagalli; A. Boselli,,14,2,10.1051/0004-6361/201731074,1709.06511,https://www.semanticscholar.org/paper/851f283790e860a840bddfb4fee982caa2c3d415,"Context. The traditional knowledge of the mechanisms that brought to the formation and evolution of early type galaxies (ETG) in a hierarchical Universe was challenged by the unexpected finding by ATLAS(3D) that 86% ETGs show signs of a fast rotating disk at their interior, implying an origin common to most spiral galaxies, followed by a quenching phase, while only a minority of the most massive systems are slow rotators and were likely to be the products of merger events. Aims. Our aim is to improve our knowledge on the content and distribution of ionised hydrogen and their usage to form stars in a representative sample of ETGs for which the kinematics and detailed morphological classification were known from ATLAS(3D). Methods. Using narrow-band filters centered on the redshifted H-alpha line along with a broad-band (r-Gunn) filter to recover the stellar continuum, we observed or collected existing imaging observations for 147 ETG (including members of the Virgo cluster), representative of the whole ATLAS(3D) survey. Results. 55 ETGs (37%) were detected in the H alpha line above our detection threshold (H alpha EW <= -1 angstrom) and 21 harbour a strong source (H alpha EW <= -5 a",ATLAS3D lambda_R fast slow rotators morphology sequence galaxy evolution,
gas_regulator,semantic_scholar,7,Low Dust Mass and High Star Formation Efficiency at z > 12 from Deep ALMA Observations,2026,I. Mitsuhashi; Jorge A. Zavala; T. Bakx; A. K. Inoue; M. Castellano; A. Calabró,Astrophysical Journal,0,0,10.3847/1538-4357/ae4511,,https://www.semanticscholar.org/paper/173704cdf87d6655dc90a8d2fd3b964050803c06,"We investigate the dust mass buildup and star formation efficiency of two galaxies at z > 12—GHZ2 and GS-z14-0—by combining Atacama Large Millimeter/submillimeter Array and JWST observations with an analytical model that assumes dust at thermal equilibrium. We obtained 3σ constraints on the dust mass of logMdust/M⊙<5.0 and <5.3, respectively. These constraints are in tension with a high dust condensation efficiency in stellar ejecta but are consistent with models with a short metal accretion timescale at z > 12. Given the young stellar ages of these galaxies (tage ∼ 10 Myr), dust grain growth via accretion may still be ineffective at this stage, though it likely works efficiently to produce significant dust in galaxies at z ∼ 7. The star formation efficiencies, defined as the star formation rate divided by the molecular gas mass, reach ∼10 Gyr−1 over a 10 Myr timescale, aligning with the expected redshift evolution of “starburst” galaxies with efficiencies that are ∼0.5–1 dex higher than those in main-sequence galaxies. This starburst phase seems to be common in UV-bright galaxies at z > 12 and is likely associated with the unique conditions of the early phases of galaxy formation,",gas regulator bathtub model galaxy evolution equilibrium gas fraction star formation efficiency,
gas_regulator,semantic_scholar,6,Low dust mass and high star-formation efficiency at $z>12$ from deep ALMA observations,2025,I. Mitsuhashi; Jorge A. Zavala; T. Bakx; A. K. Inoue; M. Castellano; A. Calabró,,0,0,,2501.19384,https://www.semanticscholar.org/paper/c32858bb7cb745798b8e34b363709706b5762cba,"We investigate the dust mass build-up and star formation efficiency of two galaxies at $z>12$, GHZ2 and GS-z14-0, by combining ALMA and JWST observations with an analytical model that assumes dust at thermal equilibrium. We obtained $3\sigma$ constraints on dust mass of $\log M_{\rm dust}/M_{\odot}<5.0$ and $<5.3$, respectively. These constraints are in tension with a high dust condensation efficiency in stellar ejecta but are consistent with models with a short metal accretion timescale at $z>12$. Given the young stellar ages of these galaxies ($t_{\rm age}\sim10\,{\rm Myrs}$), dust grain growth via accretion may still be ineffective at this stage, though it likely works efficiently to produce significant dust in galaxies at $z\sim7$. The star formation efficiencies, defined as the SFR divided by molecular gas mass, reach $\sim10\,{\rm Gyr}^{-1}$ in a 10\,Myr timescale, aligning with the expected redshift evolution of `starburst' galaxies with efficiencies that are $\sim0.5$--$1\,{\rm dex}$ higher than those in main-sequence galaxies. This starburst phase seems to be common in UV-bright galaxies at $z>12$ and is likely associated with the unique conditions of the early phases of g",gas regulator bathtub model galaxy evolution equilibrium gas fraction star formation efficiency,
btfr,semantic_scholar,6,MeerKAT-derived HI kinematics and the Baryonic Tully-Fisher Relation in the X-ray luminous cluster Abell 3408,2025,X. Ndaliso; Tariq Blecher; R. Deane; E. Elson,,0,0,,2508.13312,https://www.semanticscholar.org/paper/b74e4474ed7b8c2e66bce5eb25e29506c9086195,"Significant advances in observational capabilities are continuously transforming our understanding of the dense environment of galaxy clusters and its impact on individual galaxies. Discerning between intrinsic and externally-induced properties of galaxies, including their gas kinematics, is a key diagnostic in the field of galaxy evolution. In this work, we present MeerKAT HI spectral line observations of the redshift z $\sim$ 0.042 galaxy cluster Abell 3408. A total of 64 galaxies are detected in HI in this X-ray-luminous galaxy cluster (L$_{X}$ $\sim$ 3 $\times$ 10$^{43}$ ergs s$^{-1}$). We model the HI morphology and gas kinematics of the individual galaxies, using a semi-automated pipeline based on CANNUBI and pyBBarolo. The pipeline was developed and tested as part of this study. Of the 64 galaxies detected in the cluster, we successfully modelled 16, while the remaining galaxies exhibit disturbed HI morphologies, insufficient angular or velocity resolution. We combine the galaxies with converged kinematic fits with 67 field galaxies from the MeerKAT spectral line survey early science data ($\langle$z$\rangle$ = 0.0435) to produce a measurement of the Baryonic Tully-Fisher Re",baryonic Tully Fisher relation galaxy evolution gas rich dwarfs,
btfr,semantic_scholar,5,MeerKAT-derived H i kinematics and the baryonic Tully–Fisher relation in the X-ray luminous cluster Abell 3408,2025,X. Ndaliso; Tariq Blecher; R. Deane; E. Elson,Monthly notices of the Royal Astronomical Society,0,0,10.1093/mnras/staf1376,,https://www.semanticscholar.org/paper/5ac87d3acdbfb246b3a251b5c2478e6e5d143a9d,"
 Significant advances in observational capabilities are continuously transforming our understanding of the dense environment of galaxy clusters and its impact on individual galaxies. Discerning between the intrinsic and the externally induced properties of galaxies, including their gas kinematics, is a key diagnostic in the field of galaxy evolution. In this paper, we present MeerKAT H i spectral line observations of the redshift ${\it z}$  $\sim$ 0.042 galaxy cluster Abell 3408. A total of 64 galaxies are detected in H i in this X-ray luminous galaxy cluster (LX ~ 3 × 1043 erg s$^{-1}$). We model the H i morphology and gas kinematics of the individual galaxies, using a semi-automated pipeline based on cannubi and py bbarolo. The pipeline was developed and tested as part of this study. Of the 64 galaxies detected in the cluster, we successfully modelled 16, while the remaining galaxies exhibit disturbed H i morphologies, insufficient angular or velocity resolution. We combine the galaxies with converged kinematic fits with 67 field galaxies from the MeerKAT spectral line survey early science data ($\langle z\rangle$ = 0.0435) to produce a measurement of the baryonic Tully–Fisher r",baryonic Tully Fisher relation galaxy evolution gas rich dwarfs,
btfr,semantic_scholar,4,Predictions for Detecting a Turndown in the Baryonic Tully Fisher Relation,2025,Dilys Ruan; Alyson M. Brooks; Akaxia Cruz; A. Peter; Ben Keller; Thomas R. Quinn,Monthly notices of the Royal Astronomical Society,4,0,10.1093/mnras/staf1099,2503.16607,https://www.semanticscholar.org/paper/35366a26fb3c16d2dc1c9164a290add8497b454c,"
 The baryonic Tully Fisher relation (bTFR) provides an empirical connection between baryonic mass and dynamical mass (measured by the maximum rotation velocity) for galaxies. Due to the impact of baryonic feedback in the shallower potential wells of dwarf galaxies, the bTFR is predicted to turn down at low masses from the extrapolated power-law relation at high masses. The low-mass end of the bTFR is poorly constrained due to small samples and difficulty in connecting the galaxy’s gas kinematics to its dark matter halo. Simulations can help us understand this connection and interpret observations. We measure the bTFR with 75 dwarf galaxies from the Marvel-ous and Marvelous Massive Dwarfs hydrodynamic simulations. Our sample has M⋆ = 106 − 109 M⊙, and is mostly gas dominated. We compare five velocity methods: Vout, circ (spatially resolved mass-enclosed), Vout, mid (spatially resolved midplane gravitational potential), and unresolved H i linewidths at different percentages of the peak flux (W10, W20, and W50). We find an intrinsic turndown in the bTFR for maximum halo speeds ≲ 50 km s−1, or total baryonic mass Mbary ≲ 108.5 M⊙. We find that observing H i in lower-mass galaxies to t",baryonic Tully Fisher relation galaxy evolution gas rich dwarfs,
merger_spheroid,semantic_scholar,3,"Reading the tea leaves in the Mbh-M*, sph and Mbh-Re, sph diagrams: dry and gaseous mergers with remnant angular momentum",2022,A. Graham; N. Sahu,Monthly notices of the Royal Astronomical Society,9,0,10.1093/mnras/stad087,2210.09557,https://www.semanticscholar.org/paper/e42c6467db2bb20d2eabc0dfc6899c493be8fd9d,"
 We recently revealed that bulges and elliptical galaxies broadly define distinct, super-linear relations in the Mbh-M*, sph diagram, with the order-of-magnitude lower Mbh/M*, sph ratios in the elliptical galaxies due to major (disc-destroying, elliptical-building) dry mergers. Here we present a more nuanced picture. Galaxy mergers, in which the net orbital angular momentum does not cancel, can lead to systems with a rotating disc. This situation can occur with either wet (gas-rich) mergers involving one or two spiral galaxies, e.g., NGC 5128, or dry (relatively gas-poor) collisions involving one or two lenticular galaxies, e.g., NGC 5813. The spheroid and disc masses of the progenitor galaxies and merger remnant dictate the shift in the Mbh-M*, sph and Mbh-Re, sph diagrams. We show how this explains the (previously excluded merger remnant) Sérsic S0 galaxies near the bottom of the elliptical sequence and core-Sérsic S0 galaxies at the top of the bulge sequence, neither of which are faded spiral galaxies. Different evolutionary pathways in the scaling diagrams are discussed. We also introduce two ellicular (ES) galaxy types, explore the location of brightest cluster galaxies and s",mergers elliptical galaxy formation angular momentum spheroid evolution,
lambda_R,semantic_scholar,1,SDSS-IV MaNGA: the different quenching histories of fast and slow rotators,2017,R. Smethurst; K. Masters; C. Lintott; A. Weijmans; M. Merrifield; S. Penny,,24,1,10.1093/mnras/stx2547,1709.09175,https://www.semanticscholar.org/paper/87a73e295938efdbd5470a96342c028ce78754bd,"Do the theorised different formation mechanisms of fast and slow rotators produce an observable difference in their star formation histories? To study this we identify quenching slow rotators in the MaNGA sample by selecting those which lie below the star forming sequence and identify a sample of quenching fast rotators which were matched in stellar mass. This results in a total sample of 194 kinematically classified galaxies, which is agnostic to visual morphology. We use u-r and NUV-u colours from SDSS and GALEX and an existing inference package, STARPY, to conduct a first look at the onset time and exponentially declining rate of quenching of these galaxies. An Anderson-Darling test on the distribution of the inferred quenching rates across the two kinematic populations reveals they are statistically distinguishable ($3.2\sigma$). We find that fast rotators quench at a much wider range of rates than slow rotators, consistent with a wide variety of physical processes such as secular evolution, minor mergers, gas accretion and environmentally driven mechanisms. Quenching is more likely to occur at rapid rates ($\tau \lesssim 1~\rm{Gyr}$) for slow rotators, in agreement with theori",ATLAS3D lambda_R fast slow rotators morphology sequence galaxy evolution,
merger_spheroid,semantic_scholar,4,SDSS. IV. MaNGA: The Impact of the Acquisition of Gas with Opposite Angular Momentum on the Evolution of Galaxies,2024,Minje Beom; R. Walterbos; D. Bizyaev,Astronomical Journal,1,0,10.3847/1538-3881/ad6f0b,2410.06256,https://www.semanticscholar.org/paper/b8af45d1369704cc64cf9434dc4332a04447297a,"A gaseous counterrotating galaxy is a galaxy containing a gas component with opposite angular momentum to the main stellar disk. The counterrotating gas provides direct evidence for the accretion of external material, a key aspect in hierarchical galaxy evolution. We identified 303 gaseous counterrotators out of 9992 galaxies in MaNGA. The majority of the counterrotators are early types. This implies their formation is highly correlated with early-type galaxies, although it is still difficult to know if one leads to the other. To disentangle which of the galaxy characteristics within a morphological class were changed by the accretion of counterrotating gas, we carefully selected a comparison sample with similar fundamental galactic properties but corotation in gas. This comparison shows that gaseous counterrotation correlates with weak rotation in the stellar component, the high central concentration of star-forming regions, if present, and a higher fraction of central low ionization emission regions (cLIER) galaxies. The light distributions of the stellar components, dust and H i content (both low), and overall suppressed star formation rates are similar for both samples and seem",mergers elliptical galaxy formation angular momentum spheroid evolution,
gas_regulator,semantic_scholar,8,Self-regulated galaxy evolution within a self-consistently varying galaxy-wide initial mass function,2026,L. Hof; P. Kroupa; G. Hensler; J. Pflamm-Altenburg,Astronomy &amp; Astrophysics,0,0,10.1051/0004-6361/202557352,,https://www.semanticscholar.org/paper/b3fa3747a5dffd3e501c15afe9a9f657468f4b93,"Semi-analytical evolution models of galaxies are a useful and computationally inexpensive tool for a fast assessment of individual properties and their evolution. In this work, specifically the influence of a metallicity- and star-formation-rate- (SFR) dependent, galaxy-wide stellar initial mass function (IGIMF) on the self-regulation of star formation in a galaxy is of interest.
We aim to investigate the impact of a variable IGIMF, and especially its influence on the equilibrium SFR of the system, its gas fraction, the metallicity evolution, and the gas depletion timescale, τ_̊m gas, all in comparison with two non-varying galaxy-wide IMFs (gwIMFs).
A two-phase two-component model with gas and stellar components was integrated using the Cash--Karp method with adaptive step size. For comparison, the calculations were carried out using non-varying gwIMFs and a variable IGIMF, implemented using the code, which is based on the IGIMF theory. The input parameters were the effective radius, the final age, and the accretion rate of the galaxy. Our highly simplified model does not represent a full physical galactic network; however, it is suitable for the purpose of this study. GalIMF
All m",gas regulator bathtub model galaxy evolution equilibrium gas fraction star formation efficiency,
lambda_R,semantic_scholar,5,"Smethurst, Rebecca J. and Masters, Karen L. and Lintott, Chris J. and Weijmans, Anne-Marie and Merrifield, Michael R. and Penny, Samantha J. and Aragón-Salamanca, Alfonso and Brownstein, J. and Bundy, Kevin and Drory, Niv and Law, D.R. and Nichol,",2017,R. Smethurst; K. Masters; C. Lintott; A. Weijmans; M. Merrifield; S. Penny,,0,0,,,https://www.semanticscholar.org/paper/37ad839c0c82e53adad9ec83d81750402cd44526,,ATLAS3D lambda_R fast slow rotators morphology sequence galaxy evolution,
lambda_R,semantic_scholar,2,The ATLAS3D project IX: the merger origin of a fast- and a slow-rotating early-type galaxy revealed with deep optical imaging: first results,2011,P. Duc; J. Cuillandre; P. Serra; L. Michel-Dansac; E. Ferriere; K. Alatalo,,75,1,10.1111/j.1365-2966.2011.19137.x,1105.5654,https://www.semanticscholar.org/paper/eef6dbd3758e83ed0cad4afd51ba4c7b14d1dbb3,"The mass assembly of galaxies leaves imprints in their outskirts, such as shells and tidal tails. The frequency and properties of such fine structures depend on the main acting mechanisms - secular evolution, minor or major mergers - and on the age of the last substantial accretion event. We use this to constrain the mass assembly history of two apparently relaxed nearby early-type galaxies (ETGs) selected from the ATLAS3D sample, NGC 680 and 5557. Our ultra-deep optical images obtained with MegaCam on the Canada-France-Hawaii Telescope reach 29 mag arcsec-2 in the g band. They reveal very low surface brightness (LSB) filamentary structures around these ellipticals. Among them, a gigantic 160 kpc long, narrow, tail east of NGC 5557 hosts three gas-rich star-forming objects, previously detected in H I with the Westerbork Synthesis Radio Telescope and in UV with GALEX. NGC 680 exhibits two major diffuse plumes apparently connected to extended H I tails, as well as a series of arcs and shells. Comparing the outer stellar and gaseous morphology of the two ellipticals with that predicted from models of colliding galaxies, we argue that the LSB features are tidal debris and that each of ",ATLAS3D lambda_R fast slow rotators morphology sequence galaxy evolution,
