rank,query_alias,hit_index,source_system,source_id,title,year,venue,doi_or_url,abstract_or_notes,raw_cache_path,tier,score,candidate_for_gates,evidence_status,claim_boundary,acquisition_next_step
11,MCG+06-27-014,0,Crossref,https://doi.org/10.1086/185835,MCG 06-45-001 - Not a local group galaxy,1990.0,The Astrophysical Journal,https://doi.org/10.1086/185835,,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/crossref_MCG_06_27_014.json,B,50,environment_tidal_history,candidate_source_found_evidence_not_extracted,Tier B ancillary source; useful for context but not decisive without extraction,Acquire full text/catalog table and extract UGC07125 SFR/population/environment rows if present.
12,SDSS J120842.33+364809.9,2,Crossref,https://doi.org/10.1111/j.1365-2966.2004.07843.x,"High-speed photometry of faint cataclysmic variables - IV. V356 Aql, Aqr1, FIRST J1023+0038, Hα 0242-2802, GI Mon, AO Oct, V972 Oph, SDSS 0155+00, SDSS 0233+00, SDSS 1240−01, SDSS 1556−00, SDSS 2050−05, FH Ser",2004.0,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1111/j.1365-2966.2004.07843.x,,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/crossref_SDSS_J120842_33_364809_9.json,B,50,stellar_population_age_metallicity,candidate_source_found_evidence_not_extracted,Tier B ancillary source; useful for context but not decisive without extraction,Acquire full text/catalog table and extract UGC07125 SFR/population/environment rows if present.
13,SDSS J120842.33+364809.9,0,Crossref,https://doi.org/10.1134/s1063773707080014,Voids in the SDSS galaxy survey,2007.0,Astronomy Letters,https://doi.org/10.1134/s1063773707080014,,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/crossref_SDSS_J120842_33_364809_9.json,B,50,stellar_population_age_metallicity,candidate_source_found_evidence_not_extracted,Tier B ancillary source; useful for context but not decisive without extraction,Acquire full text/catalog table and extract UGC07125 SFR/population/environment rows if present.
14,MCG+06-27-014,5,OpenAlex,https://doi.org/10.1051/0004-6361/201322489,The applicability of far-infrared fine-structure lines as star formation rate tracers over wide ranges of metallicities and galaxy types,2014.0,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201322489,"Aims. We analyze the applicability of far-infrared fine-structure lines [C] 158 m, [O] 63 m, and [O] 88 m to reliably trace the star formation rate (SFR) in a sample of low-metallicity dwarf galaxies from the Herschel Dwarf Galaxy Survey and, furthermore, extend the analysis to a broad sample of galaxies of various types and metallicities in the literature. Methods. We study the trends and scatter in the relation between the SFR (as traced by GALEX FUV and MIPS 24 m) and farinfrared line emission, on spatially resolved and global galaxy scales, in dwarf galaxies. We assemble far-infrared line measurements from the literature and infer whether the far-infrared lines can probe the SFR (as traced by the total infrared luminosity) in a variety of galaxy populations. Results. In metal-poor dwarfs, the [O] 63 and [O] 88 lines show the strongest correlation with the SFR with an uncertainty on the SFR estimates better than a factor of 2, while the link between [C] emission and the SFR is more dispersed (uncertainty factor of 2.6). The increased scatter in the SFR-L [CII] relation toward low metal abundances, warm dust temperatures, and large filling factors of diffuse, highly ionized gas suggests that other cooling lines start to dominate depending on the density and ionization state of the gas. For the literature sample, we evaluate the correlations for a number of different galaxy populations. The [C] and [O] 63 lines are considered to be reliable SFR tracers in starburst galaxies, recovering the star formation activity within an uncertainty of factor 2. For sources with composite and active galactic nucleus (AGN) classifications, all three FIR lines can recover the SFR with an uncertainty factor of 2.3. The SFR calibrations for ultra-luminous infrared galaxies (ULIRGs) are similar to starbursts/AGNs in terms of scatter but offset from the starburst/AGN SFR relations because of line deficits relative to their total infrared luminosity. While the number of detections of the FIR fine-structure lines is still very limited at high redshift for [O] 63 and [O] 88 , we provide an SFR calibration for [C].",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_MCG_06_27_014.json,B,50,star_formation_efficiency;stellar_population_age_metallicity,candidate_source_found_evidence_not_extracted,Tier B ancillary source; useful for context but not decisive without extraction,Acquire full text/catalog table and extract UGC07125 SFR/population/environment rows if present.
15,UGC 7125,0,OpenAlex,https://doi.org/10.1088/0067-0049/217/2/32,A CLASSICAL MORPHOLOGICAL ANALYSIS OF GALAXIES IN THE SPITZER SURVEY OF STELLAR STRUCTURE IN GALAXIES (S 4 G),2015.0,The Astrophysical Journal Supplement Series,https://doi.org/10.1088/0067-0049/217/2/32,"The Spitzer Survey of Stellar Structure in Galaxies (S 4 G) is the largest available database of deep, homogeneous middle-infrared (mid-IR) images of galaxies of all types. The survey, which includes 2352 nearby galaxies, reveals galaxy morphology only minimally affected by interstellar extinction. This paper presents an atlas and classifications of S 4 G galaxies in the Comprehensive de Vaucouleurs revised Hubble-Sandage (CVRHS) system. The CVRHS system follows the precepts of classical de Vaucouleurs morphology, modified to include recognition of other features such as inner, outer, and nuclear lenses, nuclear rings, bars, and disks, spheroidal galaxies, X patterns and box/peanut structures, OLR subclass outer rings and pseudorings, bar ansae and barlenses, parallel sequence latetypes, thick disks, and embedded disks in 3D early-type systems. We show that our CVRHS classifications are internally consistent, and that nearly half of the S 4 G sample consists of extreme late-type systems (mostly bulgeless, pure disk galaxies) in the range Scd-Im. The most common family classification for mid-IR types S0/a to Sc is SA while that for types Scd to Sm is SB. The bars in these two type domains are very different in mid-IR structure and morphology. This paper examines the bar, ring, and type classification fractions in the sample, and also includes several montages of images highlighting the various kinds of ""stellar structures"" seen in mid-IR galaxy morphology.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC_7125.json,B,50,stellar_population_age_metallicity,candidate_source_found_evidence_not_extracted,Tier B ancillary source; useful for context but not decisive without extraction,Acquire full text/catalog table and extract UGC07125 SFR/population/environment rows if present.
16,UGC 7125,3,OpenAlex,https://doi.org/10.1093/mnras/staa1256,Robust H i kinematics of gas-rich ultra-diffuse galaxies: hints of a weak-feedback formation scenario,2020.0,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/staa1256,"ABSTRACT We study the gas kinematics of a sample of six isolated gas-rich low surface brightness galaxies, of the class called ultra-diffuse galaxies (UDGs). These galaxies have recently been shown to be outliers from the baryonic Tully–Fisher relation (BTFR), as they rotate much slower than expected given their baryonic mass, and to have a baryon fraction similar to the cosmological mean. By means of a 3D kinematic modelling fitting technique, we show that the H i in our UDGs is distributed in ‘thin’ regularly rotating discs and we determine their rotation velocity and gas velocity dispersion. We revisit the BTFR adding galaxies from other studies. We find a previously unknown trend between the deviation from the BTFR and the exponential disc scale length valid for dwarf galaxies with circular speeds ≲ 45 km s−1, with our UDGs being at the extreme end. Based on our findings, we suggest that the high baryon fractions of our UDGs may originate due to the fact that they have experienced weak stellar feedback, likely due to their low star formation rate surface densities, and as a result they did not eject significant amounts of gas out of their discs. At the same time, we find indications that our UDGs may have higher-than-average stellar specific angular momentum, which can explain their large optical scale lengths.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC_7125.json,B,50,outer_curve_reliability;resolved_hi_velocity_field;star_formation_efficiency,candidate_source_found_evidence_not_extracted,Tier B ancillary source; useful for context but not decisive without extraction,Acquire full text/catalog table and extract UGC07125 SFR/population/environment rows if present.
17,UGC07125,3,OpenAlex,https://doi.org/10.1051/0004-6361/202142158,PGIR 20eid (SN 2020qmp): A Type IIP Supernova at 15.6 Mpc discovered by the Palomar Gattini-IR survey,2022.0,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/202142158,"Aims. We present a detailed analysis of SN 2020qmp, a nearby Type IIP core-collapse supernova (CCSN) that was discovered by the Palomar Gattini-IR survey in the galaxy UGC07125 (distance of ≈15.6 ± 4 Mpc). We illustrate how the multiwavelength study of this event helps our general understanding of stellar progenitors and circumstellar medium (CSM) interactions in CCSNe. We highlight the importance of near-infrared (NIR) surveys for detections of supernovae in dusty environments. Methods. We analyze data from observations in various bands: radio, NIR, optical, and X-rays. We use optical and NIR data for a spectroscopic and spectro-polarimetric study of the supernova and to model its light curve (LC). We obtain an estimate of the zero-age main-sequence (ZAMS) progenitor mass from the luminosity of the [O I ] doublet lines ( λλ 6300, 6364) normalized to the decay power of 56 Co. We also independently estimate the explosion energy and ZAMS progenitor mass through hydrodynamical LC modeling. From radio and X-ray observations, we derive the mass-loss rate and microphysical parameters of the progenitor star, and we investigate possible deviations from energy equipartition of magnetic fields and electrons in a standard CSM interaction model. Finally, we simulate a sample of CCSNe with plausible distributions of brightness and extinction, within 40 Mpc, and test what fraction of the sample is detectable at peak light by NIR surveys versus optical surveys. Results. SN 2020qmp displays characteristic hydrogen lines in its optical spectra as well as a plateau in its optical LC, hallmarks of a Type IIP supernova. We do not detect linear polarization during the plateau phase, with a 3 σ upper limit of 0.78%. Through hydrodynamical LC modeling and an analysis of its nebular spectra, we estimate a ZAMS progenitor mass of around 11.0 M ⊙ and an explosion energy of around 0.8 × 10 51 erg. We find that the spectral energy distribution cannot be explained by a simple CSM interaction model, assuming a constant shock velocity and a steady mass-loss rate. In particular, the excess X-ray luminosity compared with the synchrotron radio luminosity suggests deviations from equipartition. Finally, we demonstrate the advantages of NIR surveys over optical surveys for the detection of dust-obscured CCSNe in the local Universe. Specifically, our simulations show that the Wide-Field Infrared Transient Explorer will detect up to 14 more CCSNe (out of the 75 expected in its footprint) within 40 Mpc over five years than would an optical survey equivalent to the Zwicky Transient Facility. Conclusions. We have determined or constrained the main properties of SN 2020qmp and its progenitor, highlighting the value of multiwavelength follow-up observations of nearby CCSNe. We have shown that forthcoming NIR surveys will enable us to improve constraints on the local CCSN rate by detecting obscured supernovae that would be missed by optical searches.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC07125.json,B,50,environment_tidal_history,candidate_source_found_evidence_not_extracted,Tier B ancillary source; useful for context but not decisive without extraction,Acquire full text/catalog table and extract UGC07125 SFR/population/environment rows if present.
18,SDSS J120842.33+364809.9,3,Crossref,https://doi.org/10.2172/1996529,Transformation Coefficients between SDSS and DES Magnitudes,2023.0,Transformation Coefficients between SDSS and DES Magnitudes,https://doi.org/10.2172/1996529,,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/crossref_SDSS_J120842_33_364809_9.json,B,50,stellar_population_age_metallicity,candidate_source_found_evidence_not_extracted,Tier B ancillary source; useful for context but not decisive without extraction,Acquire full text/catalog table and extract UGC07125 SFR/population/environment rows if present.
19,SDSS J120842.33+364809.9,1,Crossref,https://doi.org/10.1007/springerreference_62828,SDSS,,SpringerReference,https://doi.org/10.1007/springerreference_62828,,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/crossref_SDSS_J120842_33_364809_9.json,B,50,stellar_population_age_metallicity,candidate_source_found_evidence_not_extracted,Tier B ancillary source; useful for context but not decisive without extraction,Acquire full text/catalog table and extract UGC07125 SFR/population/environment rows if present.
20,RFGC 2197,1,Crossref,https://doi.org/10.1023/a:1021803028742,Flat Galaxies of the RFGC Catalog Detected in the HIPASS Survey,2002.0,Astrophysics,https://doi.org/10.1023/a:1021803028742,,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/crossref_RFGC_2197.json,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
21,SIMBAD bibcode list,0,SIMBAD_bibcode,2006AJ....131.1163S,SIMBAD bibliography entry 2006AJ....131.1163S,2006.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2006AJ....131.1163S/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
22,SIMBAD bibcode list,7,SIMBAD_bibcode,2009ApJS..182,SIMBAD bibliography entry 2009ApJS..182,2009.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2009ApJS..182/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
23,RFGC 2197,2,Crossref,https://doi.org/10.1007/s10509-009-0176-6,Large-scale collective motion of RFGC galaxies,2010.0,Astrophysics and Space Science,https://doi.org/10.1007/s10509-009-0176-6,,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/crossref_RFGC_2197.json,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
24,RFGC 2197,3,Crossref,https://doi.org/10.1007/s10509-010-0476-x,Large-scale collective motion of RFGC galaxies in curved space-time,2011.0,Astrophysics and Space Science,https://doi.org/10.1007/s10509-010-0476-x,,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/crossref_RFGC_2197.json,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
25,SIMBAD bibcode list,79,SIMBAD_bibcode,2013MNRAS.428.1790W,SIMBAD bibliography entry 2013MNRAS.428.1790W,2013.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1790W/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
26,RFGC 2197,0,Crossref,https://doi.org/10.1007/s10509-012-1267-3,Yet another sample of RFGC galaxies,2013.0,Astrophysics and Space Science,https://doi.org/10.1007/s10509-012-1267-3,,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/crossref_RFGC_2197.json,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
27,SIMBAD bibcode list,74,SIMBAD_bibcode,2014A&A...569A,SIMBAD bibliography entry 2014A&A...569A,2014.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2014A%26A...569A/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
28,SIMBAD bibcode list,75,SIMBAD_bibcode,2014AJ....147,SIMBAD bibliography entry 2014AJ....147,2014.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2014AJ....147/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
29,SIMBAD bibcode list,76,SIMBAD_bibcode,2014ApJ...781,SIMBAD bibliography entry 2014ApJ...781,2014.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2014ApJ...781/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
